Country,Level 1 Index,Time,Indprod Index Value (I21)
AT,D,1997-04,37.0
AT,D,1997-05,35.1
AT,D,1997-06,35.1
AT,D,1997-07,36.3
AT,D,1997-08,34.3
AT,D,1997-09,33.2
AT,D,1997-10,40.8
AT,D,1997-11,41.5
AT,D,1997-12,47.2
AT,D,1998-01,44.1
AT,D,1998-02,38.2
AT,D,1998-03,41.1
AT,D,1998-04,34.7
AT,D,1998-05,33.7
AT,D,1998-06,35.8
AT,D,1998-07,37.8
AT,D,1998-08,33.4
AT,D,1998-09,36.7
AT,D,1998-10,40.3
AT,D,1998-11,45.6
AT,D,1998-12,52.7
AT,D,1999-01,44.4
AT,D,1999-02,42.8
AT,D,1999-03,43.3
AT,D,1999-04,36.6
AT,D,1999-05,40.5
AT,D,1999-06,40.3
AT,D,1999-07,39.3
AT,D,1999-08,35.4
AT,D,1999-09,35.7
AT,D,1999-10,40.4
AT,D,1999-11,46.6
AT,D,1999-12,58.1
AT,D,2000-01,45.9
AT,D,2000-02,43.2
AT,D,2000-03,44.8
AT,D,2000-04,39.0
AT,D,2000-05,40.7
AT,D,2000-06,39.0
AT,D,2000-07,40.4
AT,D,2000-08,41.8
AT,D,2000-09,41.1
AT,D,2000-10,41.3
AT,D,2000-11,45.9
AT,D,2000-12,53.1
AT,D,2001-01,52.9
AT,D,2001-02,47.9
AT,D,2001-03,50.7
AT,D,2001-04,45.8
AT,D,2001-05,44.7
AT,D,2001-06,41.2
AT,D,2001-07,44.6
AT,D,2001-08,43.3
AT,D,2001-09,47.0
AT,D,2001-10,48.5
AT,D,2001-11,55.3
AT,D,2001-12,66.0
AT,D,2002-01,60.1
AT,D,2002-02,52.3
AT,D,2002-03,55.8
AT,D,2002-04,50.7
AT,D,2002-05,48.3
AT,D,2002-06,47.6
AT,D,2002-07,50.1
AT,D,2002-08,46.9
AT,D,2002-09,49.7
AT,D,2002-10,53.8
AT,D,2002-11,56.3
AT,D,2002-12,62.1
AT,D,2003-01,61.4
AT,D,2003-02,57.4
AT,D,2003-03,57.4
AT,D,2003-04,51.9
AT,D,2003-05,49.2
AT,D,2003-06,49.4
AT,D,2003-07,50.1
AT,D,2003-08,44.9
AT,D,2003-09,47.7
AT,D,2003-10,54.3
AT,D,2003-11,51.3
AT,D,2003-12,56.3
AT,D,2004-01,55.3
