99xx_HTS,Mapped_HTS,Revision,Publication_Date
9903.85.15,8515.90.2000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8516.90.5000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8516.90.8050,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8517.71.0000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8517.79.0000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8529.90.7300,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8529.90.9760,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8536.90.8585,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8538.10.0000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8541.90.0000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8543.90.8885,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8547.90.0020,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8547.90.0030,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8547.90.0040,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8708.10.3050,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8708.29.5160,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8708.80.6590,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8708.99.6890,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8716.80.5010,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8807.30.0060,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9013.90.8000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9031.90.9195,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9401.99.9081,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9403.99.1040,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9403.99.9010,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9403.99.9015,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9403.99.9020,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9403.99.9040,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9403.99.9045,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9405.99.4020,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.11.4080,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.51.4000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.51.6000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.59.4040,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.70.2090,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.91.0010,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.91.0020,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.91.0030,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.99.0510,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.99.0520,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.99.0530,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.99.1500,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.99.2000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.99.2580,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.99.2800,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.99.5500,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9506.99.6080,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9507.30.2000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9507.30.4000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9507.30.6000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9507.30.8000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,9507.90.6000,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7208,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7209,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7210,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7211,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7212,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7225,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7226,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7213,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7214,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7215,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7227,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7228,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7216,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7216.61.00,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7216.69.00,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7216.91.00,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7217,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7229,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7301.10.00,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7302.10,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7302.40.00,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7302.90.00,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7304,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7306,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7305,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7206,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7207,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7224,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7218,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7219,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7220,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7221,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7222,hts_2025_revision_14_csv,2025-06-02
9903.81.87,7223,hts_2025_revision_14_csv,2025-06-02
